ages,no,astra,biontech,moderna,jj
[00;12),1,1.275,1.275,1.275,1.275
[12;18),1,1.275,1.275,1.275,1.275
[18;60),1,1.275,1.275,1.275,1.275
[60;oo),1,1.275,1.275,1.275,1.275
