ages,no,astra,biontech,moderna,jj
[00;12),0,0.68,0.68,0.68,0.68
[12;18),0,0.68,0.68,0.68,0.68
[18;60),0,0.595,0.595,0.595,0.595
[60;oo),0,0.51,0.51,0.51,0.51
