ages,no,astra,biontech,moderna,jj
[00;12),0,0.085,0.085,0.085,0.085
[12;18),0,0.085,0.085,0.085,0.085
[18;60),0,0.085,0.085,0.085,0.085
[60;oo),0,0.085,0.085,0.085,0.085
