ages,no,astra,biontech,moderna,jj
[00;12),0.575,0.575,0.575,0.575,0.575
[12;18),0.8625,0.8625,0.8625,0.8625,0.8625
[18;60),1,1,1,1,1
[60;oo),1,1,1,1,1
