ages,no,astra,biontech,moderna,jj
[00;12),0,0.3,0.3,0.3,0.3
[12;18),0,0.3,0.3,0.3,0.3
[18;60),0,0.3,0.3,0.3,0.3
[60;oo),0,0.3,0.3,0.3,0.3
