ages,no,astra,biontech,moderna,jj
[00;12),0,0.60,0.70,0.70,0.60
[12;18),0,0.60,0.70,0.70,0.60
[18;60),0,0.60,0.70,0.70,0.60
[60;oo),0,0.60,0.70,0.70,0.60
